,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
0,AK1990,-0.2546324245033734,-0.26129526192326263,-0.2625461490040976,-0.2575444714523375,-0.2585628037282409,-0.2582549242746109,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
1,AK1991,-0.25453494620164085,-0.26036829240389614,-0.26209830368271714,-0.25693091713055805,-0.25806028255009517,-0.25775966528033667,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
2,AK1992,-0.2547074985180143,-0.2596422918860183,-0.2613775038209694,-0.2567040912816034,-0.2577628319439958,-0.2574813034728691,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
3,AK1993,-0.25498460417414925,-0.2588459522176194,-0.2608147302720658,-0.2564715056468832,-0.25750753109338637,-0.25724315411213905,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
4,AK1994,-0.2557384887819038,-0.2582135278910597,-0.26016763438231655,-0.2564374954833156,-0.2574732434684542,-0.25722398548467873,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
5,AK1995,-0.2569502855732006,-0.2579748772017919,-0.2596510819683951,-0.25659465535205933,-0.25771827987083556,-0.2575004721003295,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
6,AK1996,-0.2575960793221791,-0.2576219253929274,-0.2588940547305803,-0.25652910350453795,-0.2576721990500669,-0.2574673437115665,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
7,AK1997,-0.25784016813417887,-0.25700331768522006,-0.25796775820114193,-0.25623480587947345,-0.25735290919241843,-0.2571635626372494,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
8,AK1998,-0.2577686316385525,-0.2562396354795631,-0.2570464585511611,-0.2558280552942258,-0.25687877904128653,-0.2567083077350663,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
9,AK1999,-0.2581888102859402,-0.2560750921095942,-0.25668293557062627,-0.25609931377622847,-0.2569997684948688,-0.2568458218016296,-0.1521468242040133,-0.12396250104178205,-0.17573702580209993,-0.17647891360324147,-0.17738968845390424,-0.1734567477990291,-0.1865371057816317,-0.1423169396885222,-0.1351366978465268,-0.15861263433746206
