,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
0,AK1990,56984,25254,23041,72223,85781,91721,,,,,,,,,,
1,AK1991,57232,26730,23758,74460,88082,94098,,,,,,,,,,
2,AK1992,56793,27886,24912,75287,89444,95434,,,,,,,,,,
3,AK1993,56088,29154,25813,76135,90613,96577,,,,,,,,,,
4,AK1994,54170,30161,26849,76259,90770,96669,,,,,,,,,,
5,AK1995,51087,30541,27676,75686,89648,95342,,,,,,,,,,
6,AK1996,49444,31103,28888,75925,89859,95501,,,,,,,,,,
7,AK1997,48823,32088,30371,76998,91321,96959,,,,,,,,,,
8,AK1998,49005,33304,31846,78481,93492,99144,,,,,,,,,,
9,AK1999,47936,33566,32428,77492,92938,98484,,,,,,,,,,
10,AK2000,47528,33813,32787,76487,92674,97941,,,10298,37037,6768,6983,1368,15631,112530,
11,AK2000-2002,,,,,,,,,,,,,,,,4000
12,AK2001,47176,33608,33206,74781,91736,97035,,,10989,36531,6939,6894,1427,15983,110008,
13,AK2001-2003,,,,,,,,,,,,,,,,4000
14,AK2002,47437,34432,33650,72963,91695,96787,,,11801,36086,7176,6947,1601,16495,108376,
15,AK2002-2004,,,,,,,,,,,,,,,,4000
16,AK2003,47610,34685,33556,70992,90714,96129,,,12398,35592,7411,6812,1715,16881,106034,
17,AK2004,48257,34852,33630,69596,90600,95735,,,12879,35225,7612,6674,1851,17587,104507,
18,AK2005,48929,33618,34290,68467,90026,95278,2000,185000,13345,34891,7754,6468,1977,18124,102745,3000
19,AK2006,49441,32451,34832,68856,90118,95462,4000,176000,13746,34596,7911,6335,2079,18993,101920,S
20,AK2007,50219,31352,34420,68353,89380,94964,3000,178000,13918,34060,8070,6151,2122,19439,100584,S
21,AK2008,51119,30526,32990,68489,88635,94489,3000,178000,14193,33544,8409,6032,2340,20063,98543,S
22,AK2009,53122,30388,32312,70529,90183,96168,4000,180000,14652,33495,9319,6094,2539,21311,98941,S
23,AK2010,54421,30241,31606,71754,91404,96618,2000,186000,15009,33294,9736,5894,2807,22523,98759,S
24,AK2011,55378,30269,31017,71976,91688,96952,5000,183000,15378,33615,9901,5917,3025,22880,97924,S
25,AK2012,55215,30652,30577,72053,91642,96855,6000,181000,16154,33878,10074,5792,3288,23020,96291,S
26,AK2013,55532,30638,30107,72200,91490,96987,3000,185000,16711,34002,10340,5871,3506,23241,94806,S
27,AK2014,55491,30027,29759,71715,90742,96250,4000,183000,17035,33936,10273,5664,3524,23369,93191,S
28,AK2015,55384,29510,29770,71703,90473,95894,4000,182000,17539,33823,10273,5523,3655,23472,92082,S
29,AK2016,55131,29489,29790,72733,90867,96276,5000,183000,18096,33830,10494,5655,3885,23659,91524,2000
30,AK2017,54227,29488,29339,72675,90413,95316,5000,180000,18370,33797,10696,5689,4094,23795,89288,S
31,AK2018,52694,29211,28677,72607,89201,93988,4000,179000,18458,33534,10393,5561,4108,23696,87439,3000
32,AK2019,51182,29108,28196,71956,87809,92633,4000,176000,18188,33265,10206,5227,4143,23670,85743,2000
33,AK2020,49205,30296,28979,71769,87515,92734,,,17052,33697,10219,5224,4180,23958,85919,
34,AK2021,48049,30479,28902,71400,86933,91897,4000,175000,17661,33110,10013,5200,4304,24294,84248,3000
35,AK2022,46710,30336,29195,71113,86278,91076,2000,174000,18147,32433,9909,5151,4292,24426,82996,3000
36,AK2023,45891,30207,29536,70142,85495,90281,3000,171000,18700,31699,10113,5057,4398,24492,81317,S
37,AK2024,45536,30122,30034,69255,85117,89830,4000,170000,19402,31007,10526,5087,4524,24781,79620,
38,AL1990,285723,174286,180864,409168,512957,537084,,,,,,,,,,
39,AL1991,289970,178948,180356,411520,518037,542757,,,,,,,,,,
40,AL1992,294818,184213,183323,410519,523858,549015,,,,,,,,,,
41,AL1993,299264,188505,185673,412164,529925,555681,,,,,,,,,,
42,AL1994,301097,191184,189962,414937,535473,561707,,,,,,,,,,
43,AL1995,301494,191106,195049,422904,541905,568648,,,,,,,,,,
44,AL1996,297767,188725,197322,428278,542563,569529,,,,,,,,,,
45,AL1997,297163,189864,199271,436595,547791,575102,,,,,,,,,,
46,AL1998,294482,189066,196142,438562,545427,572825,,,,,,,,,,
47,AL1999,294940,190292,193219,442836,546885,574402,,,,,,,,,,
48,AL2000,295185,190298,192538,444252,547235,575038,,,25127,6096,7793,358170,261,13665,711161,
49,AL2000-2002,,,,,,,,,,,,,,,,17000
50,AL2001,296624,190955,192644,440186,546765,573644,,,28255,6055,8100,356292,275,14742,706690,
51,AL2001-2003,,,,,,,,,,,,,,,,17000
52,AL2002,296046,195204,192904,432436,545302,571288,,,31429,5971,8388,354009,312,15783,700698,
53,AL2002-2004,,,,,,,,,,,,,,,,19000
54,AL2003,295204,198194,192089,427596,543595,569488,,,35008,5962,8763,350810,340,16807,695393,
55,AL2004,295970,198959,193910,424823,544217,569445,,,38776,5927,9357,349474,373,18162,691593,
56,AL2005,296441,196925,199310,424553,545809,571420,17000,1069000,43562,5859,9941,347994,411,19552,689910,22000
57,AL2006,297222,195699,204128,429749,550744,576054,15000,1101000,48914,5918,10679,349147,445,21018,690677,S
58,AL2007,300300,194916,205576,431504,553495,578801,17000,1107000,54450,6089,11331,348327,498,22639,688962,30000
59,AL2008,304842,193198,203900,432987,555180,579747,14000,1107000,59786,6098,11972,346368,541,24421,685741,32000
60,AL2009,305412,191504,201844,435432,554819,579373,16000,1110000,64387,6177,12472,344518,551,25997,680090,44000
61,AL2010,304246,190977,198809,436407,552908,577531,18000,1117000,67746,6332,12981,341816,577,27214,673773,40000
62,AL2011,302855,191701,194802,434595,550155,573798,15000,1109000,70322,5986,13383,336878,588,28676,668120,39000
63,AL2012,299329,193999,192030,431611,547167,569802,17000,1108000,70936,5719,14151,332983,633,30116,662431,42000
64,AL2013,294814,194571,191458,429429,544414,565858,12000,1098000,72733,5488,14711,329344,649,31208,656139,S
65,AL2014,293680,191664,192235,428638,542522,563695,13000,1096000,74491,5271,15139,326775,655,32359,651527,41000
66,AL2015,294097,187320,194140,427602,541168,561991,16000,1093000,76928,5037,15601,324432,674,33403,647084,43000
67,AL2016,294616,183999,195041,426805,540135,560326,15000,1085000,79991,4767,16118,321907,686,34574,642418,42000
68,AL2017,294572,184067,192284,425654,538035,558542,16000,1078000,82284,4536,16394,319743,695,35666,637259,45000
69,AL2018,295520,184863,188399,423817,535995,556604,13000,1076000,84945,4299,16342,317214,669,36819,632311,S
70,AL2019,294274,186724,185516,422213,534091,554636,16000,1069000,87151,4196,16357,315167,646,37871,627339,39000
71,AL2020,297347,201552,195146,435631,552984,576692,,,104965,4229,16669,323967,642,39341,639863,
72,AL2021,294227,202218,197071,434631,552361,575786,16000,1104000,106878,4080,16511,322978,612,40619,636469,39000
73,AL2022,293480,199697,200878,435641,553303,576393,15000,1096000,110221,3949,16610,321543,643,42136,634594,43000
74,AL2023,294447,195540,205780,438151,555589,578329,19000,1111000,114151,3840,16802,320269,718,43716,634422,48000
75,AL2024,295446,193035,207177,439199,556145,578712,22000,1111000,118073,3713,17274,318444,715,44875,631763,
76,AR1990,167225,103404,105204,245100,301750,319183,,,,,,,,,,
77,AR1991,168674,105785,105659,246094,304330,321882,,,,,,,,,,
78,AR1992,172046,109860,108556,247807,310238,328031,,,,,,,,,,
79,AR1993,172944,112684,110133,247713,312778,330696,,,,,,,,,,
80,AR1994,174642,115492,113250,250458,317850,335992,,,,,,,,,,
81,AR1995,177013,117142,117261,256255,324567,343104,,,,,,,,,,
82,AR1996,178547,117350,120492,261523,329549,348363,,,,,,,,,,
83,AR1997,178548,117002,121903,262750,330693,349510,,,,,,,,,,
84,AR1998,180410,116853,121420,264954,332471,351166,,,,,,,,,,
