,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
0,AK1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,840.0,32.0,142.0,1507.0,,,
1,AK1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0,837.0,117.0,192.0,1694.0,,,
2,AK1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,1004.0,86.0,117.0,1902.0,,,
3,AK1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.0,1116.0,55.0,128.0,1948.0,,,
4,AK1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.0,1202.0,77.0,183.0,2331.0,,,
5,AK1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,1310.0,100.0,316.0,2602.0,,,
6,AK1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,1484.0,217.0,309.0,2957.0,,,
7,AK1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,1606.0,311.0,299.0,3190.0,,,
8,AK1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.0,1607.0,127.0,389.0,3179.0,,,
9,AK1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,1505.0,150.0,338.0,3063.0,,,
10,AK1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.0,1491.0,146.0,404.0,3139.0,,,
11,AK1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.0,1641.0,203.0,252.0,3237.0,,,
12,AK2000,,,,,,,,,0.04,,,,0.07,0.18,0.04,0.62,0.09,N.A.,N.A.,N.A.,N.A.,,,,,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,1277.0,1651.0,206.0,401.0,3535.0,0.17,0.17,0.25
13,AK2001,,,,,,,,,0.02,,,,0.08,0.17,0.04,0.63,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.0,1886.0,188.0,388.0,4224.0,0.17,0.17,0.26
14,AK2002,,,,,,,,,0.02,,,,0.08,0.19,0.05,0.6,0.08,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,N.A.,N.A.,N.A.,N.A.,,,,,,1282.0,1710.0,129.0,585.0,3706.0,0.19,0.19,0.25
15,AK2003,,,,,,,,,0.03,0.086,0.077,0.082,0.06,0.19,0.04,0.64,0.07,0.7,0.3,0.3,0.7,0.67,0.27,0.33,0.73,,,,,0.75,0.3,0.25,0.7,,,,,,,,,S,,,,,1354.0,1683.0,154.0,617.0,3808.0,0.22,0.22,0.21
16,AK2004,,,,,,,,,0.03,,,,0.08,0.2,0.05,0.6,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.0,1699.0,241.0,607.0,3756.0,0.17,0.17,0.29
