,LocYear,fam1: A,fam1: B,fam1: G,fam1: H,fam1: N,fam4,fam5,fam7,fam8,Data_x,Data_y,Data,fam15,fam16,fam18,fam19
0,AK1990,,,,,,,,,,,,,,1142.0,,
1,AK1991,,,,,,,,,,,,,,1215.0,,
2,AK1992,,,,,,,,,,,,,,1260.0,,
3,AK1993,,,,,,,,,,,,,,1183.0,,
4,AK1994,,,,,,,,,,,,,,1210.0,,
5,AK1995,,,,,,,,,,,,,,1136.0,,
6,AK1996,,,,,,,,,,,,,,1096.0,,
7,AK1997,,,,,,,,,,,,,,1099.0,,
8,AK1998,,,,,,,,,,,,,,1101.0,,
9,AK1999,,,,,,,,,,,,,,1123.0,,
10,AK2000,,,,,,0.3,,0.04,0.06,,,,0.11,1162.0,,S
11,AK2001,,,,,,0.29,,0.07,0.07,,,,0.11,1056.0,,
12,AK2002,,,,,,0.26,,0.06,0.06,,,,0.12,1068.0,S,
13,AK2003,,,,,,0.3,,0.07,0.08,,,0.098,0.12,1051.0,,
14,AK2004,,,,,,0.3,,0.1,0.06,,,,0.12,1073.0,,S
15,AK2005,0.07,0.16,0.11,0.57,0.1,0.3,0.04,0.09,0.07,,,,0.12,1038.0,,
16,AK2006,0.07,0.17,0.08,0.57,0.1,0.3,0.03,0.08,0.06,,,,0.13,1101.0,S,
17,AK2007,0.09,0.14,0.08,0.61,0.07,0.3,0.03,0.08,0.06,,,0.075,0.14,1117.0,,
18,AK2008,0.08,0.17,0.09,0.59,0.06,0.32,0.03,0.1,0.06,,,,0.14,1135.0,,S
19,AK2009,0.08,0.18,0.07,0.6,0.07,0.3,0.04,0.09,0.05,,,,0.16,1106.0,,
20,AK2010,0.1,0.16,0.08,0.56,0.1,0.32,0.03,0.09,0.05,,,,0.14,956.0,S,
21,AK2011,0.08,0.16,0.07,0.6,0.08,0.35,0.03,0.13,0.04,0.1,0.252,0.091,0.16,880.0,,
22,AK2012,0.11,0.16,0.08,0.58,0.07,0.33,0.04,0.08,0.05,,,,0.18,817.0,,S
23,AK2013,0.09,0.17,0.08,0.57,0.09,0.3,0.05,0.1,0.05,,,,0.13,708.0,,
24,AK2014,0.09,0.17,0.09,0.56,0.08,0.31,0.03,0.11,0.06,,,,0.15,645.0,S,
25,AK2015,0.09,0.17,0.1,0.55,0.08,0.34,0.04,0.09,0.05,,,,0.13,662.0,,
26,AK2016,0.07,0.18,0.11,0.58,0.06,0.33,0.04,0.11,0.06,0.11,0.25,0.05,0.13,583.0,,S
27,AK2017,0.1,0.17,0.11,0.52,0.1,0.29,0.04,0.1,0.07,0.13,0.27,0.05,0.14,486.0,,
28,AK2018,0.08,0.19,0.13,0.54,0.06,0.29,0.05,0.09,0.06,0.14,0.27,0.03,0.14,423.0,S,
29,AK2019,0.11,0.19,0.11,0.51,0.08,0.3,0.05,,0.06,0.12,0.23,0.03,0.13,393.0,,
30,AK2020,,,,,,,,,,0.1,0.2,0.04,,378.0,,S
31,AK2021,0.09,0.22,0.12,0.52,0.05,0.32,0.05,,0.06,0.09,0.21,0.05,0.13,378.0,,
32,AK2022,0.1,0.19,0.11,0.54,0.06,0.34,0.03,,0.05,0.09,0.23,0.05,0.12,357.0,S,
33,AK2023,0.1,0.22,0.13,0.51,0.05,0.32,0.05,,0.05,,,,0.11,342.0,,
34,AK2024,,,,,,0.33,0.04,,,,,,0.09,,,S
35,AL1990,,,,,,,,,,,,,,11252.0,,
36,AL1991,,,,,,,,,,,,,,11272.0,,
37,AL1992,,,,,,,,,,,,,,10960.0,,
38,AL1993,,,,,,,,,,,,,,10645.0,,
39,AL1994,,,,,,,,,,,,,,10999.0,,
40,AL1995,,,,,,,,,,,,,,10857.0,,
41,AL1996,,,,,,,,,,,,,,10807.0,,
42,AL1997,,,,,,,,,,,,,,10461.0,,
43,AL1998,,,,,,,,,,,,,,10393.0,,
44,AL1999,,,,,,,,,,,,,,9850.0,,
45,AL2000,,,,,,0.35,,0.05,0.08,,,,0.03,9727.0,,0.4
46,AL2001,,,,,,0.37,,0.05,0.09,,,,0.02,8820.0,,
47,AL2002,,,,,,0.35,,0.04,0.08,,,,0.04,8427.0,0.27,
48,AL2003,,,,,,0.36,,0.03,0.07,,,0.139,0.03,8095.0,,
49,AL2004,,,,,,0.36,,0.03,0.06,,,,0.03,8126.0,,0.45
50,AL2005,0.08,0.14,0.08,0.53,0.17,0.37,0.06,0.04,0.08,,,,0.04,7771.0,,
51,AL2006,0.08,0.15,0.08,0.52,0.17,0.37,0.06,0.04,0.08,,,,0.04,8537.0,0.24,
52,AL2007,0.07,0.15,0.08,0.54,0.16,0.38,0.06,0.05,0.07,,,0.119,0.04,8696.0,,
53,AL2008,0.08,0.16,0.08,0.52,0.16,0.36,0.06,0.05,0.06,,,,0.05,8559.0,,0.54
54,AL2009,0.09,0.16,0.09,0.51,0.15,0.39,0.06,0.05,0.06,,,,0.05,8205.0,,
55,AL2010,0.09,0.15,0.09,0.51,0.16,0.4,0.06,0.06,0.06,,,,0.06,7343.0,0.17,
56,AL2011,0.09,0.15,0.09,0.52,0.15,0.39,0.06,0.05,0.06,0.08,0.26,0.115,0.06,6609.0,,
57,AL2012,0.09,0.16,0.09,0.51,0.14,0.39,0.07,0.05,0.06,,,,0.06,6195.0,,0.36
58,AL2013,0.09,0.16,0.09,0.51,0.13,0.41,0.06,0.06,0.07,,,,0.06,5392.0,,
59,AL2014,0.1,0.16,0.09,0.5,0.14,0.4,0.06,0.06,0.06,,,,0.05,5009.0,0.17,
60,AL2015,0.1,0.17,0.1,0.49,0.14,0.4,0.06,0.06,0.07,,,,0.06,4739.0,,
61,AL2016,0.1,0.17,0.11,0.49,0.12,0.39,0.06,0.05,0.07,0.09,0.27,0.05,0.07,4480.0,,0.43
62,AL2017,0.1,0.16,0.12,0.5,0.12,0.39,0.07,0.05,0.07,0.1,0.23,0.04,0.07,4241.0,,
63,AL2018,0.1,0.18,0.11,0.49,0.11,0.39,0.07,0.06,0.08,0.08,0.2,0.04,0.07,3924.0,0.3,
64,AL2019,0.11,0.18,0.11,0.48,0.11,0.4,0.07,,0.08,0.07,0.2,0.04,0.08,3955.0,,
65,AL2020,,,,,,,,,,0.09,0.21,0.03,,3788.0,,0.45
66,AL2021,0.1,0.17,0.13,0.48,0.1,0.39,0.06,,0.07,0.08,0.21,0.03,0.06,3641.0,,
67,AL2022,0.1,0.19,0.13,0.48,0.1,0.37,0.06,,0.08,0.08,0.2,0.03,0.07,3445.0,0.19,
68,AL2023,0.11,0.2,0.13,0.48,0.09,0.39,0.06,,0.07,,,,0.08,3417.0,,
69,AL2024,,,,,,0.39,0.06,,,,,,0.07,,,0.42
70,AR1990,,,,,,,,,,,,,,7011.0,,
71,AR1991,,,,,,,,,,,,,,6880.0,,
72,AR1992,,,,,,,,,,,,,,6554.0,,
73,AR1993,,,,,,,,,,,,,,6486.0,,
74,AR1994,,,,,,,,,,,,,,6797.0,,
75,AR1995,,,,,,,,,,,,,,6710.0,,
76,AR1996,,,,,,,,,,,,,,7026.0,,
77,AR1997,,,,,,,,,,,,,,6835.0,,
78,AR1998,,,,,,,,,,,,,,6691.0,,
79,AR1999,,,,,,,,,,,,,,6434.0,,
80,AR2000,,,,,,0.34,,0.05,0.07,,,,0.04,6400.0,,0.36
81,AR2001,,,,,,0.31,,0.04,0.08,,,,0.05,5941.0,,
82,AR2002,,,,,,0.3,,0.04,0.09,,,,0.05,5681.0,0.14,
83,AR2003,,,,,,0.33,,0.06,0.08,,,0.147,0.06,5585.0,,
84,AR2004,,,,,,0.38,,0.06,0.1,,,,0.07,5716.0,,0.36
85,AR2005,0.06,0.13,0.06,0.59,0.16,0.34,0.05,0.06,0.07,,,,0.07,5646.0,,
86,AR2006,0.07,0.13,0.06,0.57,0.16,0.35,0.06,0.05,0.09,,,,0.07,5946.0,0.17,
87,AR2007,0.07,0.13,0.06,0.56,0.18,0.35,0.06,0.06,0.07,,,0.107,0.08,5926.0,,
88,AR2008,0.06,0.14,0.06,0.58,0.17,0.36,0.06,0.06,0.07,,,,0.08,5940.0,,0.31
89,AR2009,0.07,0.14,0.06,0.58,0.15,0.38,0.06,0.06,0.05,,,,0.09,5753.0,,
90,AR2010,0.08,0.13,0.07,0.57,0.16,0.39,0.06,0.07,0.07,,,,0.09,5229.0,0.15,
91,AR2011,0.08,0.14,0.07,0.57,0.14,0.38,0.05,0.05,0.06,0.09,0.28,0.121,0.1,4845.0,,
92,AR2012,0.08,0.15,0.07,0.55,0.15,0.37,0.06,0.06,0.06,,,,0.09,4349.0,,0.25
93,AR2013,0.08,0.15,0.08,0.55,0.14,0.38,0.06,0.08,0.06,,,,0.09,4155.0,,
94,AR2014,0.08,0.16,0.08,0.55,0.13,0.39,0.06,0.08,0.06,,,,0.1,3782.0,0.15,
95,AR2015,0.08,0.16,0.08,0.54,0.14,0.36,0.07,0.08,0.08,,,,0.1,3677.0,,
96,AR2016,0.08,0.17,0.09,0.52,0.14,0.38,0.07,0.07,0.07,0.12,0.26,0.04,0.1,3372.0,,0.35
97,AR2017,0.08,0.16,0.1,0.53,0.13,0.37,0.06,0.08,0.06,0.11,0.26,0.06,0.1,3178.0,,
98,AR2018,0.1,0.16,0.09,0.53,0.12,0.39,0.05,0.08,0.07,0.15,0.28,0.06,0.09,2928.0,0.24,
99,AR2019,0.1,0.16,0.1,0.53,0.11,0.37,0.07,,0.08,0.14,0.26,0.06,0.1,2882.0,,
100,AR2020,,,,,,,,,,0.11,0.22,0.05,,2676.0,,0.32
101,AR2021,0.11,0.16,0.11,0.53,0.1,0.38,0.06,,0.07,0.12,0.22,0.05,0.09,2609.0,,
102,AR2022,0.1,0.17,0.11,0.52,0.1,0.36,0.06,,0.07,0.12,0.24,0.05,0.1,2440.0,0.23,
103,AR2023,0.11,0.18,0.11,0.51,0.09,0.37,0.06,,0.07,,,,0.1,2436.0,,
104,AR2024,,,,,,0.36,0.06,,,,,,0.1,,,0.38
