,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
0,AK1990,,,,0.262,,,58,,,,,,,,,,125,575.0,,0.09,45,11902.0,1142.0
1,AK1991,,,,0.269,,,44,,,,,,,,,,104,544.0,,0.086,49,11686.0,1215.0
2,AK1992,,,,0.274,,,53,,,,,,,,,,101,577.0,,0.093,51,11726.0,1260.0
3,AK1993,,,,0.28,,,69,,,,,,,,,,91,547.0,,0.093,46,11073.0,1183.0
4,AK1994,,,,0.293,,,42,,,,,,,,,,81,588.0,,0.091,49,10678.0,1210.0
5,AK1995,,,,0.299,,,61,,,,,,,,,,79,545.0,,0.08,40,10244.0,1136.0
6,AK1996,,,,0.31,,,44,,,,,,,,,,72,549.0,,0.101,53,10037.0,1096.0
7,AK1997,,,,0.306,,,62,,,,,,,,,,75,584.0,,0.102,54,9947.0,1099.0
8,AK1998,,,,0.311,,,45,,,,,,,,,,59,593.0,,0.1,42,9926.0,1101.0
9,AK1999,,,,0.332,,,35,,,,,,,,,,57,577.0,,0.108,54,9950.0,1123.0
10,AK2000,,,,0.33,,,48,,,,,,,,,,68,558.0,,0.1,71,9974.0,1162.0
11,AK2001,,,,0.328,,,50,,,,,,,,0.11,,81,566.0,,0.1,53,10003.0,1056.0
12,AK2002,0.562,,,0.34,,,42,,,,,,,,,,55,579.0,,0.098,43,9938.0,1068.0
13,AK2003,0.729,N.C.,N.C.,0.346,N.C.,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
14,AK2003,0.729,N.C.,N.C.,0.346,0.052,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
15,AK2003,0.729,N.C.,0.171,0.346,N.C.,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
16,AK2003,0.729,N.C.,0.171,0.346,0.052,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
17,AK2003,0.729,0.171,N.C.,0.346,N.C.,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
18,AK2003,0.729,0.171,N.C.,0.346,0.052,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
19,AK2003,0.729,0.171,0.171,0.346,N.C.,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
20,AK2003,0.729,0.171,0.171,0.346,0.052,,56,,,,,,0.71,0.07,,,71,600.0,,0.11,60,10086.0,1051.0
21,AK2004,0.664,N.C.,N.C.,0.346,N.C.,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
22,AK2004,0.664,N.C.,N.C.,0.346,0.045,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
23,AK2004,0.664,N.C.,0.159,0.346,N.C.,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
24,AK2004,0.664,N.C.,0.159,0.346,0.045,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
25,AK2004,0.664,0.159,N.C.,0.346,N.C.,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
26,AK2004,0.664,0.159,N.C.,0.346,0.045,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
27,AK2004,0.664,0.159,0.159,0.346,N.C.,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
28,AK2004,0.664,0.159,0.159,0.346,0.045,,51,,,,,,,,,,69,618.0,,0.105,64,10338.0,1073.0
29,AK2005,0.681,N.C.,N.C.,0.36,N.C.,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
30,AK2005,0.681,N.C.,N.C.,0.36,0.049,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
31,AK2005,0.681,N.C.,0.161,0.36,N.C.,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
32,AK2005,0.681,N.C.,0.161,0.36,0.049,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
33,AK2005,0.681,0.161,N.C.,0.36,N.C.,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
34,AK2005,0.681,0.161,N.C.,0.36,0.049,42.0,35,,,,,,,,0.12,,62,635.0,,0.106,48,10459.0,1038.0
