,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: O,safe1112: P,safe1112: S,safe1415: 1,safe1415: 2,safe161718: 1,safe161718: 2,safe1920: 1,safe1920: 2,safe212223
0,AK2000,,,1096.0,913.0,202.0,681,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
1,AK2001,,,999.0,996.0,278.0,697,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
2,AK2002,0.11,0.41,1068.0,844.0,230.0,617,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.11,0.24,
3,AK2003,0.11,0.39,943.0,781.0,208.0,634,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.12,0.23,
4,AK2004,0.1,0.37,665.0,710.0,185.0,649,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.1,0.21,
5,AK2005,0.1,0.36,940.0,789.0,204.0,489,13,820,104,1603,N.R.,471,148,,,,,0.08,0.19,0.09
6,AK2006,0.1,0.41,922.0,689.0,212.0,724,17,1181,175,1933,N.R.,632,211,,,,,0.08,0.19,0.08
7,AK2007,0.09,0.42,897.0,762.0,254.0,777,15,1133,160,1962,N.R.,466,189,,,,,0.08,0.2,0.08
8,AK2008,0.1,0.4,926.0,928.0,269.0,807,21,1063,110,2953,N.R.,671,226,,,,,0.09,0.25,0.07
9,AK2009,0.09,0.41,927.0,915.0,329.0,751,19,895,72,2906,N.R.,569,143,,,,,0.09,0.24,0.07
10,AK2010,0.07,0.42,904.0,921.0,338.0,678,15,474,47,2221,N.R.,355,111,,,,,0.09,0.24,0.08
11,AK2011,0.07,0.41,929.0,785.0,294.0,720,15,484,40,2345,N.R.,370,136,,,,,0.1,0.25,0.07
12,AK2012,0.06,0.36,929.0,821.0,309.0,804,15,481,76,2363,N.R.,438,168,,,,,0.09,0.21,0.05
13,AK2013,0.05,0.39,1018.0,860.0,328.0,866,13,542,58,1981,N.R.,370,119,,,,,0.09,0.21,0.05
14,AK2014,,,1162.0,919.0,367.0,704,13,542,73,1982,N.R.,N.R.,137,,,,,0.11,0.25,
15,AK2015,0.06,0.38,1513.0,1006.0,357.0,783,15,718,84,2358,N.R.,331,155,,,,,0.1,0.28,0.08
16,AK2016,0.05,0.36,1336.0,1044.0,313.0,947,17,985,73,2382,N.R.,376,181,,,,,0.09,0.26,0.07
17,AK2017,0.05,0.34,1328.0,1341.0,366.0,1039,15,770,5,2133,N.R.,393,148,,,,,0.08,0.26,0.04
18,AK2018,0.05,0.34,1337.0,1248.0,353.0,1004,14,684,69,2011,N.R.,427,201,,,,,0.09,0.31,0.05
19,AK2019,,,1496.0,1337.0,396.0,951,17,994,90,2286,N.R.,487,279,,,,,,,
20,AK2020,,,1353.0,1338.0,354.0,1019,18,1068,112,2275,N.R.,683,295,,,,,,,
21,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
22,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
23,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
24,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
25,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
26,AK2021,0.04,0.24,1324.0,1291.0,339.0,972,15,894,101,2018,N.R.,567,227,0.02,0.15,0.02,0.15,0.09,0.33,0.12
27,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
28,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
29,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
30,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
31,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
32,AK2022,0.03,0.24,1151.0,1253.0,,1014,15,887,78,1887,N.R.,606,252,0.02,0.15,0.02,0.15,0.05,0.28,0.08
33,AK2023,,,1022.0,1084.0,,853,14,751,100,1776,N.R.,524,168,,,,,,,
34,AK2024,,,,,,,13,,,,,,,,,,,,,
35,AL2000,,,2661.0,2334.0,202.0,1119,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
36,AL2001,,,2672.0,2271.0,238.0,1243,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
37,AL2002,0.08,0.35,3125.0,2692.0,249.0,1476,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.06,0.12,
38,AL2003,0.1,0.35,3246.0,2818.0,329.0,1545,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.06,0.14,
39,AL2004,0.1,0.34,3598.0,3046.0,398.0,1599,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,0.07,0.14,
40,AL2005,0.09,0.34,3844.0,3279.0,324.0,2128,8,100,N.R.,4194,N.R.,3831,2201,,,,,0.06,0.12,0.07
41,AL2006,0.09,0.33,3791.0,3474.0,387.0,1658,8,111,N.R.,4092,N.R.,3836,2494,,,,,0.05,0.11,0.07
42,AL2007,0.08,0.34,3942.0,3641.0,349.0,1820,8,64,N.R.,4045,N.R.,3952,2333,,,,,0.05,0.13,0.07
43,AL2008,0.07,0.35,3589.0,3599.0,442.0,1692,8,48,N.R.,3884,N.R.,4113,2346,,,,,0.06,0.14,0.07
44,AL2009,0.07,0.33,3124.0,2885.0,629.0,1582,7,47,N.R.,3219,N.R.,4115,1928,,,,,0.06,0.14,0.07
